aalen:	('aalɛnɛm', 'N;INS;SG')
oferta:	('ɔfɛr\U00100001ʲiɛ', 'N;DAT;SG')
	('ɔfɛr\U00100001ʲiɛ', 'N;ESS;SG')
	('ɔfɛrtax', 'N;ESS;PL')
	('ɔfɛrtamʲi', 'N;INS;PL')
	('ɔfɛrtɔ̃', 'N;INS;SG')
	('ɔ f ɛ r t a', 'N;NOM;SG')
	('ɔ f ɛ r t ɛ', 'N;ACC;SG')
	('ɔfɛrt', 'N;GEN;PL')
	('ɔfɛrtɔm', 'N;DAT;PL')
	('ɔfɛrtɔ', 'N;VOC;SG')
	('ɔfɛrtɨ', 'N;ACC;PL')
	('ɔfɛrtɨ', 'N;GEN;SG')
	('ɔfɛrtɨ', 'N;NOM;PL')
	('ɔfɛrtɨ', 'N;VOC;PL')
ofiara:	('ɔfʲiarax', 'N;ESS;PL')
	('ɔfʲiaramʲi', 'N;INS;PL')
	('ɔ fʲ a r ɔ̃', 'N;INS;SG')
	('ɔ fʲ a r a', 'N;NOM;SG')
	('ɔfʲiarɛ~', 'N;ACC;SG')
	('ɔ fʲ a r', 'N;GEN;PL')
	('ɔfʲiarɔm', 'N;DAT;PL')
	('ɔfʲiarɔ', 'N;VOC;SG')
	('ɔ fʲ a r ɨ', 'N;ACC;PL')
	('ɔ fʲ a r ɨ', 'N;GEN;SG')
	('ɔ fʲ a r ɨ', 'N;NOM;PL')
	('ɔ fʲ a r ɨ', 'N;VOC;PL')
	('ɔfʲiɛʐɛ', 'N;DAT;SG')
	('ɔfʲiɛʐɛ', 'N;ESS;SG')
oficer:	('ɔfʲi\U00100001ɛrax', 'N;ESS;PL')
	('ɔfʲi\U00100001ɛramʲi', 'N;INS;PL')
	('ɔfʲi\U00100001ɛra', 'N;ACC;SG')
	('ɔfʲi\U00100001ɛra', 'N;GEN;SG')
	('ɔfʲi\U00100001ɛrɛm', 'N;INS;SG')
	('ɔ fʲ i t͡s ɛ r', 'N;NOM;SG')
	('ɔfʲi\U00100001ɛrɔm', 'N;DAT;PL')
	('ɔfʲi\U00100001ɛrɔvʲi', 'N;DAT;SG')
	('ɔfʲi\U00100001ɛruv', 'N;ACC;PL')
	('ɔfʲi\U00100001ɛruv', 'N;GEN;PL')
	('ɔfʲi\U00100001ɛʐɛ', 'N;ESS;SG')
	('ɔfʲi\U00100001ɛʐɛ', 'N;VOC;SG')
	('ɔfʲi\U00100001ɛʐɨ', 'N;NOM;PL')
	('ɔfʲi\U00100001ɛʐɨ', 'N;VOC;PL')
ogar:	('ɔgarax', 'N;ESS;PL')
	('ɔgaramʲi', 'N;INS;PL')
	('ɔ ɡ a r a', 'N;ACC;SG')
	('ɔ ɡ a r a', 'N;GEN;SG')
	('ɔgarɛm', 'N;INS;SG')
	('ɔ ɡ a r', 'N;NOM;SG')
	('ɔgarɔm', 'N;DAT;PL')
	('ɔgarɔvʲi', 'N;DAT;SG')
	('ɔgaruv', 'N;GEN;PL')
	('ɔgarɨ', 'N;ACC;PL')
	('ɔgarɨ', 'N;NOM;PL')
	('ɔgarɨ', 'N;VOC;PL')
	('ɔgaʐɛ', 'N;ESS;SG')
	('ɔgaʐɛ', 'N;VOC;SG')
ogień:	('ɔ ɡʲ ɛ ɲ', 'N;ACC;SG')
	('ɔ ɡʲ ɛ ɲ', 'N;NOM;SG')
	('ɔgɲiax', 'N;ESS;PL')
	('ɔgɲiamʲi', 'N;INS;PL')
	('ɔgɲia', 'N;GEN;SG')
	('ɔgɲiɛm', 'N;INS;SG')
	('ɔgɲiɛ', 'N;ACC;PL')
	('ɔgɲiɛ', 'N;NOM;PL')
	('ɔgɲiɛ', 'N;VOC;PL')
	('ɔgɲi', 'N;GEN;PL')
	('ɔgɲiɔm', 'N;DAT;PL')
	('ɔgɲiɔvʲi', 'N;DAT;SG')
	('ɔgɲiu', 'N;ESS;SG')
	('ɔgɲiu', 'N;VOC;SG')
ogier:	('ɔgʲiɛrax', 'N;ESS;PL')
	('ɔgʲiɛramʲi', 'N;INS;PL')
	('ɔgʲiɛra', 'N;ACC;SG')
	('ɔgʲiɛra', 'N;GEN;SG')
	('ɔgʲiɛrɛm', 'N;INS;SG')
	('ɔ ɡʲ ɛ r', 'N;NOM;SG')
	('ɔgʲiɛrɔm', 'N;DAT;PL')
	('ɔgʲiɛrɔvʲi', 'N;DAT;SG')
	('ɔgʲiɛruv', 'N;GEN;PL')
	('ɔgʲiɛrɨ', 'N;ACC;PL')
	('ɔgʲiɛrɨ', 'N;NOM;PL')
	('ɔgʲiɛrɨ', 'N;VOC;PL')
	('ɔgʲiɛʐɛ', 'N;ESS;SG')
	('ɔgʲiɛʐɛ', 'N;VOC;SG')
oglądanie:	('ɔglɔ̃daɲia', 'N;GEN;SG')
	('ɔglɔ̃daɲiɛm', 'N;INS;SG')
	('ɔ ɡ l ɔ n d a ɲ ɛ', 'N;ACC;SG')
	('ɔ ɡ l ɔ n d a ɲ ɛ', 'N;NOM;SG')
	('ɔ ɡ l ɔ n d a ɲ ɛ', 'N;VOC;SG')
	('ɔglɔ̃daɲiu', 'N;DAT;SG')
	('ɔglɔ̃daɲiu', 'N;ESS;SG')
ogłoszenie:	('ɔgwɔzzɛɲiax', 'N;ESS;PL')
	('ɔgwɔzzɛɲiamʲi', 'N;INS;PL')
	('ɔgwɔzzɛɲia', 'N;ACC;PL')
	('ɔgwɔzzɛɲia', 'N;GEN;SG')
	('ɔgwɔzzɛɲia', 'N;NOM;PL')
	('ɔgwɔzzɛɲia', 'N;VOC;PL')
	('ɔgwɔzzɛɲiɛm', 'N;INS;SG')
	('ɔ ɡ w ɔ ʂ ɛ ɲ ɛ', 'N;ACC;SG')
	('ɔ ɡ w ɔ ʂ ɛ ɲ ɛ', 'N;NOM;SG')
	('ɔ ɡ w ɔ ʂ ɛ ɲ ɛ', 'N;VOC;SG')
	('ɔgwɔzzɛɲiɔm', 'N;DAT;PL')
	('ɔgwɔzzɛɲiu', 'N;DAT;SG')
	('ɔgwɔzzɛɲiu', 'N;ESS;SG')
	('ɔgwɔzzɛɲ', 'N;GEN;PL')
ogłowie:	('ɔgwɔvʲiax', 'N;ESS;PL')
	('ɔgwɔvʲiamʲi', 'N;INS;PL')
	('ɔgwɔvʲia', 'N;ACC;PL')
	('ɔgwɔvʲia', 'N;GEN;SG')
	('ɔgwɔvʲia', 'N;NOM;PL')
	('ɔgwɔvʲia', 'N;VOC;PL')
	('ɔgwɔvʲiɛm', 'N;INS;SG')
	('ɔ ɡ w ɔ vʲ ɛ', 'N;ACC;SG')
	('ɔ ɡ w ɔ vʲ ɛ', 'N;NOM;SG')
	('ɔ ɡ w ɔ vʲ ɛ', 'N;VOC;SG')
	('ɔgwɔvʲi', 'N;GEN;PL')
	('ɔgwɔvʲiɔm', 'N;DAT;PL')
	('ɔgwɔvʲiu', 'N;DAT;SG')
	('ɔgwɔvʲiu', 'N;ESS;SG')
ognisko:	('ɔgɲisɛk', 'N;GEN;PL')
	('ɔgɲiskax', 'N;ESS;PL')
	('ɔgɲiskamʲi', 'N;INS;PL')
	('ɔgɲiska', 'N;ACC;PL')
	('ɔgɲiska', 'N;GEN;SG')
	('ɔgɲiska', 'N;NOM;PL')
	('ɔgɲiska', 'N;VOC;PL')
	('ɔgɲiskʲiɛm', 'N;INS;SG')
	('ɔgɲiskɔm', 'N;DAT;PL')
	('ɔ ɡ ɲ i s k ɔ', 'N;ACC;SG')
	('ɔ ɡ ɲ i s k ɔ', 'N;NOM;SG')
	('ɔ ɡ ɲ i s k ɔ', 'N;VOC;SG')
	('ɔgɲisku', 'N;DAT;SG')
	('ɔgɲisku', 'N;ESS;SG')
ogniskowa:	('ɔgɲiskɔvɔ̃', 'N;ACC;SG')
	('ɔgɲiskɔvɔ̃', 'N;INS;SG')
	('ɔ ɡ ɲ i s k ɔ v a', 'N;NOM;SG')
	('ɔ ɡ ɲ i s k ɔ v a', 'N;VOC;SG')
	('ɔgɲiskɔvɛj', 'N;DAT;SG')
	('ɔgɲiskɔvɛj', 'N;ESS;SG')
	('ɔgɲiskɔvɛj', 'N;GEN;SG')
	('ɔgɲiskɔvɛ', 'N;ACC;PL')
	('ɔgɲiskɔvɛ', 'N;NOM;PL')
	('ɔgɲiskɔvɛ', 'N;VOC;PL')
	('ɔgɲiskɔvɨx', 'N;ESS;PL')
	('ɔgɲiskɔvɨx', 'N;GEN;PL')
	('ɔgɲiskɔvɨmʲi', 'N;INS;PL')
	('ɔgɲiskɔvɨm', 'N;DAT;PL')
ogonek:	('ɔ ɡ ɔ n ɛ k', 'N;ACC;SG')
	('ɔ ɡ ɔ n ɛ k', 'N;NOM;SG')
	('ɔgɔnkax', 'N;ESS;PL')
	('ɔgɔnkamʲi', 'N;INS;PL')
	('ɔgɔnka', 'N;GEN;SG')
	('ɔgɔnkʲiɛm', 'N;INS;SG')
	('ɔ ɡ ɔ n kʲ i', 'N;ACC;PL')
	('ɔ ɡ ɔ n kʲ i', 'N;NOM;PL')
	('ɔ ɡ ɔ n kʲ i', 'N;VOC;PL')
	('ɔgɔnkɔm', 'N;DAT;PL')
	('ɔgɔnkɔvʲi', 'N;DAT;SG')
	('ɔgɔnkuv', 'N;GEN;PL')
	('ɔgɔnku', 'N;ESS;SG')
	('ɔgɔnku', 'N;VOC;SG')
ogon:	('ɔgɔnax', 'N;ESS;PL')
	('ɔgɔnamʲi', 'N;INS;PL')
	('ɔgɔna', 'N;GEN;SG')
	('ɔgɔnɛm', 'N;INS;SG')
	('ɔgɔɲiɛ', 'N;ESS;SG')
	('ɔgɔɲiɛ', 'N;VOC;SG')
	('ɔ ɡ ɔ n', 'N;ACC;SG')
	('ɔ ɡ ɔ n', 'N;NOM;SG')
	('ɔgɔnɔm', 'N;DAT;PL')
	('ɔgɔnɔvʲi', 'N;DAT;SG')
	('ɔgɔnuv', 'N;GEN;PL')
	('ɔgɔnɨ', 'N;ACC;PL')
	('ɔgɔnɨ', 'N;NOM;PL')
	('ɔgɔnɨ', 'N;VOC;PL')
ogórek:	('ɔ ɡ u r ɛ k', 'N;ACC;SG')
	('ɔ ɡ u r ɛ k', 'N;NOM;SG')
	('ɔgurkax', 'N;ESS;PL')
	('ɔgurkamʲi', 'N;INS;PL')
	('ɔgurka', 'N;GEN;SG')
	('ɔgurkʲiɛm', 'N;INS;SG')
	('ɔgurkʲi', 'N;ACC;PL')
	('ɔgurkʲi', 'N;NOM;PL')
	('ɔgurkʲi', 'N;VOC;PL')
	('ɔgurkɔm', 'N;DAT;PL')
	('ɔgurkɔvʲi', 'N;DAT;SG')
	('ɔgurkuv', 'N;GEN;PL')
	('ɔgurku', 'N;ESS;SG')
	('ɔgurku', 'N;VOC;SG')
ograniczanie:	('ɔgraɲi\U00100002aɲia', 'N;GEN;SG')
	('ɔgraɲi\U00100002aɲiɛm', 'N;INS;SG')
	('ɔ ɡ r a ɲ i t͡ʂ a ɲ ɛ', 'N;ACC;SG')
	('ɔ ɡ r a ɲ i t͡ʂ a ɲ ɛ', 'N;NOM;SG')
	('ɔ ɡ r a ɲ i t͡ʂ a ɲ ɛ', 'N;VOC;SG')
	('ɔgraɲi\U00100002aɲiu', 'N;DAT;SG')
	('ɔgraɲi\U00100002aɲiu', 'N;ESS;SG')
ogrodnik:	('ɔgrɔdɲi\U00100001ɨ', 'N;NOM;PL')
	('ɔgrɔdɲi\U00100001ɨ', 'N;VOC;PL')
	('ɔgrɔdɲikax', 'N;ESS;PL')
	('ɔgrɔdɲikamʲi', 'N;INS;PL')
	('ɔgrɔdɲika', 'N;ACC;SG')
	('ɔgrɔdɲika', 'N;GEN;SG')
	('ɔgrɔdɲikʲiɛm', 'N;INS;SG')
	('ɔ ɡ r ɔ d ɲ i k', 'N;NOM;SG')
	('ɔgrɔdɲikɔm', 'N;DAT;PL')
	('ɔgrɔdɲikɔvʲi', 'N;DAT;SG')
	('ɔgrɔdɲikuv', 'N;ACC;PL')
	('ɔgrɔdɲikuv', 'N;GEN;PL')
	('ɔgrɔdɲiku', 'N;ESS;SG')
	('ɔgrɔdɲiku', 'N;VOC;SG')
ogród:	('ɔgrɔdax', 'N;ESS;PL')
	('ɔgrɔdamʲi', 'N;INS;PL')
	('ɔgrɔdɛm', 'N;INS;SG')
	('ɔ ɡ r u t', 'N;ACC;SG')
	('ɔ ɡ r u t', 'N;NOM;SG')
	('ɔgrɔdɔm', 'N;DAT;PL')
	('ɔ ɡ r ɔ d ɔ vʲ i', 'N;DAT;SG')
	('ɔgrɔduv', 'N;GEN;PL')
	('ɔgrɔdu', 'N;GEN;SG')
	('ɔgrɔdɨ', 'N;ACC;PL')
	('ɔgrɔdɨ', 'N;NOM;PL')
	('ɔgrɔdɨ', 'N;VOC;PL')
	('ɔgrɔdʑiɛ', 'N;ESS;SG')
	('ɔgrɔdʑiɛ', 'N;VOC;SG')
ogrodzenie:	('ɔgrɔdzɛɲiax', 'N;ESS;PL')
	('ɔgrɔdzɛɲiamʲi', 'N;INS;PL')
	('ɔgrɔdzɛɲia', 'N;ACC;PL')
	('ɔgrɔdzɛɲia', 'N;GEN;SG')
	('ɔgrɔdzɛɲia', 'N;NOM;PL')
	('ɔgrɔdzɛɲia', 'N;VOC;PL')
	('ɔgrɔdzɛɲiɛm', 'N;INS;SG')
	('ɔ ɡ r ɔ d͡z ɛ ɲ ɛ', 'N;ACC;SG')
	('ɔ ɡ r ɔ d͡z ɛ ɲ ɛ', 'N;NOM;SG')
	('ɔ ɡ r ɔ d͡z ɛ ɲ ɛ', 'N;VOC;SG')
	('ɔgrɔdzɛɲiɔm', 'N;DAT;PL')
	('ɔgrɔdzɛɲiu', 'N;DAT;SG')
	('ɔgrɔdzɛɲiu', 'N;ESS;SG')
	('ɔgrɔdzɛɲ', 'N;GEN;PL')
ogr:	('ɔgrax', 'N;ESS;PL')
	('ɔgramʲi', 'N;INS;PL')
	('ɔ ɡ r a', 'N;ACC;SG')
	('ɔ ɡ r a', 'N;GEN;SG')
	('ɔgrɛm', 'N;INS;SG')
	('ɔ ɡ r', 'N;NOM;SG')
	('ɔ ɡ r ɔ m', 'N;DAT;PL')
	('ɔgrɔvʲi', 'N;DAT;SG')
	('ɔgruv', 'N;GEN;PL')
	('ɔ ɡ r ɨ', 'N;ACC;PL')
	('ɔ ɡ r ɨ', 'N;NOM;PL')
	('ɔ ɡ r ɨ', 'N;VOC;PL')
	('ɔgʐɛ', 'N;ESS;SG')
	('ɔgʐɛ', 'N;VOC;SG')
ogrom:	('ɔgrɔmax', 'N;ESS;PL')
	('ɔgrɔmamʲi', 'N;INS;PL')
	('ɔgrɔmɛm', 'N;INS;SG')
	('ɔgrɔmʲiɛ', 'N;ESS;SG')
	('ɔgrɔmʲiɛ', 'N;VOC;SG')
	('ɔ ɡ r ɔ m', 'N;ACC;SG')
	('ɔ ɡ r ɔ m', 'N;NOM;SG')
	('ɔgrɔmɔm', 'N;DAT;PL')
	('ɔgrɔmɔvʲi', 'N;DAT;SG')
	('ɔgrɔmuv', 'N;GEN;PL')
	('ɔgrɔmu', 'N;GEN;SG')
	('ɔgrɔmɨ', 'N;ACC;PL')
	('ɔgrɔmɨ', 'N;NOM;PL')
	('ɔgrɔmɨ', 'N;VOC;PL')
ohar:	('ɔxarax', 'N;ESS;PL')
	('ɔxaramʲi', 'N;INS;PL')
	('ɔxara', 'N;ACC;SG')
	('ɔxara', 'N;GEN;SG')
	('ɔxarɛm', 'N;INS;SG')
	('ɔ x a r', 'N;NOM;SG')
	('ɔxarɔm', 'N;DAT;PL')
	('ɔxarɔvʲi', 'N;DAT;SG')
	('ɔxaruv', 'N;GEN;PL')
	('ɔxarɨ', 'N;ACC;PL')
	('ɔxarɨ', 'N;NOM;PL')
	('ɔxarɨ', 'N;VOC;PL')
	('ɔxaʐɛ', 'N;ESS;SG')
	('ɔxaʐɛ', 'N;VOC;SG')
ohm:	('ɔxmax', 'N;ESS;PL')
	('ɔxmamʲi', 'N;INS;PL')
	('ɔxma', 'N;GEN;SG')
	('ɔxmɛm', 'N;INS;SG')
	('ɔxmʲiɛ', 'N;ESS;SG')
	('ɔxmʲiɛ', 'N;VOC;SG')
	('ɔ m', 'N;ACC;SG')
	('ɔ m', 'N;NOM;SG')
	('ɔxmɔm', 'N;DAT;PL')
	('ɔxmɔvʲi', 'N;DAT;SG')
	('ɔxmuv', 'N;GEN;PL')
	('ɔxmɨ', 'N;ACC;PL')
	('ɔxmɨ', 'N;NOM;PL')
	('ɔxmɨ', 'N;VOC;PL')
ojciec:	('ɔj\U00100001ax', 'N;ESS;PL')
	('ɔj\U00100001amʲi', 'N;INS;PL')
	('ɔ j t͡s a', 'N;ACC;SG')
	('ɔ j t͡s a', 'N;GEN;SG')
	('ɔ j t͡s ɛ m', 'N;INS;SG')
	('ɔ j t͡ɕ ɛ t͡s', 'N;NOM;SG')
	('ɔj\U00100001ɔm', 'N;DAT;PL')
	('ɔj\U00100001ɔvʲiɛ', 'N;NOM;PL')
	('ɔj\U00100001ɔvʲiɛ', 'N;VOC;PL')
	('ɔj\U00100001uv', 'N;ACC;PL')
	('ɔj\U00100001uv', 'N;GEN;PL')
	('ɔ j t͡s u', 'N;DAT;SG')
	('ɔ j t͡s u', 'N;ESS;SG')
	('ɔ j t͡ʂ ɛ', 'N;VOC;SG')
ojcowizna:	('ɔj\U00100001ɔvʲiznax', 'N;ESS;PL')
	('ɔj\U00100001ɔvʲiznamʲi', 'N;INS;PL')
	('ɔj\U00100001ɔvʲiznɔ̃', 'N;INS;SG')
	('ɔ j t͡s ɔ vʲ i z n a', 'N;NOM;SG')
	('ɔj\U00100001ɔvʲiznɛ~', 'N;ACC;SG')
	('ɔj\U00100001ɔvʲizɲiɛ', 'N;DAT;SG')
	('ɔj\U00100001ɔvʲizɲiɛ', 'N;ESS;SG')
	('ɔj\U00100001ɔvʲizn', 'N;GEN;PL')
	('ɔj\U00100001ɔvʲiznɔm', 'N;DAT;PL')
	('ɔj\U00100001ɔvʲiznɔ', 'N;VOC;SG')
	('ɔj\U00100001ɔvʲiznɨ', 'N;ACC;PL')
	('ɔj\U00100001ɔvʲiznɨ', 'N;GEN;SG')
	('ɔj\U00100001ɔvʲiznɨ', 'N;NOM;PL')
	('ɔj\U00100001ɔvʲiznɨ', 'N;VOC;PL')
ojczym:	('ɔj\U00100002ɨmax', 'N;ESS;PL')
	('ɔj\U00100002ɨmamʲi', 'N;INS;PL')
	('ɔj\U00100002ɨma', 'N;ACC;SG')
	('ɔj\U00100002ɨma', 'N;GEN;SG')
	('ɔj\U00100002ɨmɛm', 'N;INS;SG')
	('ɔj\U00100002ɨmʲiɛ', 'N;ESS;SG')
	('ɔj\U00100002ɨmʲiɛ', 'N;VOC;SG')
	('ɔ j t͡ʂ ɨ m', 'N;NOM;SG')
	('ɔj\U00100002ɨmɔm', 'N;DAT;PL')
	('ɔj\U00100002ɨmɔvʲiɛ', 'N;NOM;PL')
	('ɔj\U00100002ɨmɔvʲiɛ', 'N;VOC;PL')
	('ɔj\U00100002ɨmɔvʲi', 'N;DAT;SG')
	('ɔj\U00100002ɨmuv', 'N;ACC;PL')
	('ɔj\U00100002ɨmuv', 'N;GEN;PL')
ojczyzna:	('ɔj\U00100002ɨznax', 'N;ESS;PL')
	('ɔj\U00100002ɨznamʲi', 'N;INS;PL')
	('ɔj\U00100002ɨznɔ̃', 'N;INS;SG')
	('ɔ j t͡ʂ ɨ z n a', 'N;NOM;SG')
	('ɔj\U00100002ɨznɛ~', 'N;ACC;SG')
	('ɔj\U00100002ɨʑɲiɛ', 'N;DAT;SG')
	('ɔj\U00100002ɨʑɲiɛ', 'N;ESS;SG')
	('ɔj\U00100002ɨzn', 'N;GEN;PL')
	('ɔj\U00100002ɨznɔm', 'N;DAT;PL')
	('ɔj\U00100002ɨznɔ', 'N;VOC;SG')
	('ɔj\U00100002ɨznɨ', 'N;ACC;PL')
	('ɔj\U00100002ɨznɨ', 'N;GEN;SG')
	('ɔj\U00100002ɨznɨ', 'N;NOM;PL')
	('ɔj\U00100002ɨznɨ', 'N;VOC;PL')
okap:	('ɔkapax', 'N;ESS;PL')
	('ɔkapamʲi', 'N;INS;PL')
	('ɔkapɛm', 'N;INS;SG')
	('ɔkapʲiɛ', 'N;ESS;SG')
	('ɔkapʲiɛ', 'N;VOC;SG')
	('ɔ k a p', 'N;ACC;SG')
	('ɔ k a p', 'N;NOM;SG')
	('ɔkapɔm', 'N;DAT;PL')
	('ɔkapɔvʲi', 'N;DAT;SG')
	('ɔkapuv', 'N;GEN;PL')
	('ɔkapu', 'N;GEN;SG')
	('ɔkapɨ', 'N;ACC;PL')
	('ɔkapɨ', 'N;NOM;PL')
	('ɔkapɨ', 'N;VOC;PL')
okaryna:	('ɔkarɨnax', 'N;ESS;PL')
	('ɔkarɨnamʲi', 'N;INS;PL')
	('ɔkarɨnɔ̃', 'N;INS;SG')
	('ɔ k a r ɨ n a', 'N;NOM;SG')
	('ɔkarɨnɛ~', 'N;ACC;SG')
	('ɔkarɨɲiɛ', 'N;DAT;SG')
	('ɔkarɨɲiɛ', 'N;ESS;SG')
	('ɔkarɨn', 'N;GEN;PL')
	('ɔkarɨnɔm', 'N;DAT;PL')
	('ɔkarɨnɔ', 'N;VOC;SG')
	('ɔkarɨnɨ', 'N;ACC;PL')
	('ɔkarɨnɨ', 'N;GEN;SG')
	('ɔkarɨnɨ', 'N;NOM;PL')
	('ɔkarɨnɨ', 'N;VOC;PL')
okazanie:	('ɔkazaɲia', 'N;GEN;SG')
	('ɔkazaɲiɛm', 'N;INS;SG')
	('ɔ k a z a ɲ ɛ', 'N;ACC;SG')
	('ɔ k a z a ɲ ɛ', 'N;NOM;SG')
	('ɔ k a z a ɲ ɛ', 'N;VOC;SG')
	('ɔkazaɲiu', 'N;DAT;SG')
	('ɔkazaɲiu', 'N;ESS;SG')
okaziciel:	('ɔkaʑi\U00100001ʲiɛlax', 'N;ESS;PL')
	('ɔkaʑi\U00100001ʲiɛlamʲi', 'N;INS;PL')
	('ɔkaʑi\U00100001ʲiɛla', 'N;ACC;SG')
	('ɔkaʑi\U00100001ʲiɛla', 'N;GEN;SG')
	('ɔkaʑi\U00100001ʲiɛlɛm', 'N;INS;SG')
	('ɔkaʑi\U00100001ʲiɛlɛ', 'N;NOM;PL')
	('ɔkaʑi\U00100001ʲiɛlɛ', 'N;VOC;PL')
	('ɔkaʑi\U00100001ʲiɛlʲi', 'N;ACC;PL')
	('ɔkaʑi\U00100001ʲiɛlʲi', 'N;GEN;PL')
	('ɔ k a ʑ i t͡ɕ ɛ l', 'N;NOM;SG')
	('ɔkaʑi\U00100001ʲiɛlɔm', 'N;DAT;PL')
	('ɔkaʑi\U00100001ʲiɛlɔvʲi', 'N;DAT;SG')
	('ɔkaʑi\U00100001ʲiɛlu', 'N;ESS;SG')
	('ɔkaʑi\U00100001ʲiɛlu', 'N;VOC;SG')
okazja:	('ɔkazjax', 'N;ESS;PL')
	('ɔkazjamʲi', 'N;INS;PL')
	('ɔkazjɔ̃', 'N;INS;SG')
	('ɔ k a z j a', 'N;NOM;SG')
	('ɔkazjɛ', 'N;ACC;PL')
	('ɔkazjɛ~', 'N;ACC;SG')
	('ɔkazjɛ', 'N;NOM;PL')
	('ɔkazjɛ', 'N;VOC;PL')
	('ɔ k a z j i', 'N;DAT;SG')
	('ɔ k a z j i', 'N;ESS;SG')
	('ɔ k a z j i', 'N;GEN;PL')
	('ɔ k a z j i', 'N;GEN;SG')
	('ɔkazjɔm', 'N;DAT;PL')
	('ɔkazjɔ', 'N;VOC;SG')
okaz:	('ɔkazax', 'N;ESS;PL')
	('ɔkazamʲi', 'N;INS;PL')
	('ɔkazɛm', 'N;INS;SG')
	('ɔ k a ʑ ɛ', 'N;ESS;SG')
	('ɔ k a ʑ ɛ', 'N;VOC;SG')
	('ɔ k a s', 'N;ACC;SG')
	('ɔ k a s', 'N;NOM;SG')
	('ɔkazɔm', 'N;DAT;PL')
	('ɔkazɔvʲi', 'N;DAT;SG')
	('ɔkazuv', 'N;GEN;PL')
	('ɔ k a z u', 'N;GEN;SG')
	('ɔ k a z ɨ', 'N;ACC;PL')
	('ɔ k a z ɨ', 'N;NOM;PL')
	('ɔ k a z ɨ', 'N;VOC;PL')
okno:	('ɔ kʲ ɛ n', 'N;GEN;PL')
	('ɔ k n a x', 'N;ESS;PL')
	('ɔ k n a mʲ i', 'N;INS;PL')
	('ɔ k n a', 'N;ACC;PL')
	('ɔ k n a', 'N;GEN;SG')
	('ɔ k n a', 'N;NOM;PL')
	('ɔ k n a', 'N;VOC;PL')
	('ɔ k n ɛ m', 'N;INS;SG')
	('ɔ k ɲ ɛ', 'N;ESS;SG')
	('ɔ k n ɔ m', 'N;DAT;PL')
	('ɔ k n ɔ', 'N;ACC;SG')
	('ɔ k n ɔ', 'N;NOM;SG')
	('ɔ k n ɔ', 'N;VOC;SG')
	('ɔ k n u', 'N;DAT;SG')
okolica:	('ɔkɔlʲi\U00100001ax', 'N;ESS;PL')
	('ɔkɔlʲi\U00100001amʲi', 'N;INS;PL')
	('ɔkɔlʲi\U00100001ɔ̃', 'N;INS;SG')
	('ɔ k ɔ lʲ i t͡s a', 'N;NOM;SG')
	('ɔkɔlʲi\U00100001ɛ', 'N;ACC;PL')
	('ɔkɔlʲi\U00100001ɛ~', 'N;ACC;SG')
	('ɔkɔlʲi\U00100001ɛ', 'N;NOM;PL')
	('ɔkɔlʲi\U00100001ɛ', 'N;VOC;PL')
	('ɔ k ɔ lʲ i t͡s', 'N;GEN;PL')
	('ɔkɔlʲi\U00100001ɔm', 'N;DAT;PL')
	('ɔkɔlʲi\U00100001ɔ', 'N;VOC;SG')
	('ɔ k ɔ lʲ i t͡s ɨ', 'N;DAT;SG')
	('ɔ k ɔ lʲ i t͡s ɨ', 'N;ESS;SG')
	('ɔ k ɔ lʲ i t͡s ɨ', 'N;GEN;SG')
okolicznik:	('ɔkɔlʲi\U00100002ɲikax', 'N;ESS;PL')
	('ɔkɔlʲi\U00100002ɲikamʲi', 'N;INS;PL')
	('ɔkɔlʲi\U00100002ɲika', 'N;GEN;SG')
	('ɔkɔlʲi\U00100002ɲikʲiɛm', 'N;INS;SG')
	('ɔkɔlʲi\U00100002ɲikʲi', 'N;ACC;PL')
	('ɔkɔlʲi\U00100002ɲikʲi', 'N;NOM;PL')
	('ɔkɔlʲi\U00100002ɲikʲi', 'N;VOC;PL')
	('ɔ k ɔ lʲ i t͡ʂ ɲ i k', 'N;ACC;SG')
	('ɔ k ɔ lʲ i t͡ʂ ɲ i k', 'N;NOM;SG')
	('ɔkɔlʲi\U00100002ɲikɔm', 'N;DAT;PL')
	('ɔkɔlʲi\U00100002ɲikɔvʲi', 'N;DAT;SG')
	('ɔkɔlʲi\U00100002ɲikuv', 'N;GEN;PL')
	('ɔkɔlʲi\U00100002ɲiku', 'N;ESS;SG')
	('ɔkɔlʲi\U00100002ɲiku', 'N;VOC;SG')
okoń:	('ɔ k ɔ ɲ a x', 'N;ESS;PL')
	('ɔ k ɔ ɲ a mʲ i', 'N;INS;PL')
	('ɔ k ɔ ɲ a', 'N;ACC;SG')
	('ɔ k ɔ ɲ a', 'N;GEN;SG')
	('ɔ k ɔ ɲ ɛ m', 'N;INS;SG')
	('ɔ k ɔ ɲ ɛ', 'N;ACC;PL')
	('ɔ k ɔ ɲ ɛ', 'N;NOM;PL')
	('ɔ k ɔ ɲ ɛ', 'N;VOC;PL')
	('ɔ k ɔ ɲ i', 'N;GEN;PL')
	('ɔ k ɔ ɲ ɔ m', 'N;DAT;PL')
	('ɔ k ɔ ɲ ɔ vʲ i', 'N;DAT;SG')
	('ɔ k ɔ ɲ u', 'N;ESS;SG')
	('ɔ k ɔ ɲ u', 'N;VOC;SG')
